1,Which animal does not appear in the Chinese zodiac?,General,0
2,Which country held the 2016 Summer Olympics?,Sport,0
3,Fe is the chemical symbol for…,Science,0
4,Which social media platform came out in 2003?,General,0
5,Which country gifted the Statue of Liberty to the U.S.?,General,0
6,In which decade does the Netflix series Stranger Things take place?,Film,0
7,The movie The Social Network is about which social media platform:,General,0
8,What is the longest river in the world?,Geography,0
9,The UK is made up of the following countries: England, Ireland, Wales, and…,Geography,0
10,Who founded Microsoft?,General,0
